name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at,brand_power,proof,proximity,velocity,risk,total_gravity
Elijah Williams,vikings,DE,69.0,"6'3""",270,,,Morgan State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.698620,600.0,0.0,1050.0,0.0,7550.0,11.2
Ryan Wright,vikings,P,17.0,"6'3""",245,,,Tulane,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.698892,600.0,2500.0,1050.0,2000.0,6800.0,20.9
Leroy Watson IV,vikings,OT,72.0,"6'5""",311,,,Texas-San Antonio,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.698147,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Ben Yurosek,vikings,TE,48.0,"6'4""",245,,,Georgia,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.699416,600.0,0.0,1160.0,0.0,7550.0,11.4
Eric Wilson,vikings,LB,55.0,"6'1""",230,,,Cincinnati,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.698754,600.0,0.0,1050.0,0.0,6050.0,9.7
Bryce Baringer,patriots,P,17.0,"6'2""",215,,,Michigan State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.653934,600.0,2500.0,1050.0,2000.0,6800.0,20.9
Alex Austin,patriots,CB,28.0,"6'1""",191,,,Oregon State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.653250,600.0,0.0,1050.0,0.0,4100.0,7.7
Javon Baker,patriots,WR,6.0,"6'1""",202,,,UCF,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.653860,720.0,0.0,1050.0,0.0,6350.0,10.2
Miles Battle,patriots,CB,35.0,"6'3""",197,,,Utah,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.654891,600.0,0.0,1050.0,0.0,4100.0,7.7
Christian Barmore,patriots,DT,90.0,"6'5""",315,,,Alabama,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.654021,600.0,0.0,1050.0,0.0,7250.0,10.8
Jaheim Bell,patriots,TE,88.0,"6'2""",241,,,Florida State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.655364,600.0,0.0,1160.0,0.0,7250.0,11.1
Julian Ashby,patriots,LS,47.0,"6'1""",231,,,Vanderbilt,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.652521,600.0,2500.0,1050.0,2000.0,6050.0,20.2
DeMeer Blankumsee,patriots,WR,30.0,"5'10""",192,,,Memphis,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.659276,720.0,0.0,1050.0,0.0,6050.0,10.0
Isaiah Bolden,patriots,CB,29.0,"6'2""",205,,,Jackson State University,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.659651,600.0,0.0,1050.0,0.0,4100.0,7.7
Andy Borregales,patriots,K,36.0,"5'11""",202,,,Miami,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.659822,600.0,2500.0,1050.0,2000.0,6500.0,20.6
Kendrick Bourne,patriots,WR,84.0,"6'1""",205,,,Eastern Washington,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.660928,720.0,0.0,1050.0,0.0,5750.0,9.7
Kayshon Boutte,patriots,WR,9.0,"5'11""",197,,,LSU,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.661037,720.0,0.0,1050.0,0.0,6350.0,10.2
Will Campbell,patriots,OT,66.0,"6'6""",319,,,LSU,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.663216,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Ben Brown,patriots,C,77.0,"6'5""",312,,,Mississippi,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.661954,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Mehki Butler,patriots,G,63.0,"6'3""",310,,,Arkansas State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.662904,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Marcus Bryant,patriots,OT,52.0,"6'7""",320,,,Missouri,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.662306,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Brandon Crossley,patriots,CB,37.0,"5'11""",185,,,SMU,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.664701,600.0,0.0,1050.0,0.0,4100.0,7.7
Carlton Davis III,patriots,CB,7.0,"6'1""",206,,,Auburn,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.664946,600.0,0.0,1050.0,0.0,4400.0,8.0
Jack Conley,patriots,G,74.0,"6'7""",333,,,Boston College,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.664318,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Stefon Diggs,patriots,WR,8.0,"6'0""",191,,,Maryland,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.665784,720.0,0.0,1050.0,0.0,6350.0,10.2
KLavon Chaisson,patriots,LB,44.0,"6'3""",255,,,LSU,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.663546,600.0,0.0,1050.0,0.0,6050.0,9.7
Efton Chism III,patriots,WR,86.0,"5'10""",198,,,Eastern Washington,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.663949,720.0,0.0,1050.0,0.0,5750.0,9.7
Marcellas Dial Jr.,patriots,DB,27.0,"6'0""",190,,,South Carolina,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.665369,600.0,2500.0,1050.0,2000.0,6050.0,20.2
DeMario Douglas,patriots,WR,3.0,"5'8""",192,,,Liberty,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.666991,720.0,0.0,1050.0,0.0,6350.0,10.2
CJ Dippre,patriots,TE,82.0,"6'5""",256,,,Alabama,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.666297,600.0,0.0,1160.0,0.0,7250.0,11.1
Garrett Bradbury,patriots,C,65.0,"6'3""",300,,,N.C. State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.661309,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Marcus Epps,patriots,SAF,22.0,"6'0""",195,,,Wyoming,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.668105,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Christian Elliss,patriots,LB,53.0,"6'2""",231,,,Idaho,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.667671,600.0,0.0,1050.0,0.0,6050.0,9.7
Joshua Farmer,patriots,DT,92.0,"6'3""",312,,,Florida State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.668382,600.0,0.0,1050.0,0.0,7250.0,10.8
Yasir Durant,patriots,OT,,"6'7""",330,,,Missouri,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.667446,600.0,2500.0,1050.0,2000.0,5950.0,20.1
Joshua Dobbs,patriots,QB,11.0,"6'3""",220,,,Tennessee,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.666736,780.0,0.0,1160.0,0.0,8300.0,12.6
Jaylinn Hawkins,patriots,SAF,21.0,"6'1""",208,,,California,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.669918,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Antonio Gibson,patriots,RB,4.0,"6'0""",228,,,Memphis,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.669448,600.0,0.0,1050.0,0.0,4840.0,8.4
Christian Gonzalez,patriots,CB,,"6'1""",205,,,Oregon,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.669664,600.0,0.0,1050.0,0.0,4000.0,7.6
Hunter Henry,patriots,TE,85.0,"6'5""",249,,,Arkansas,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.670653,600.0,0.0,1160.0,0.0,7250.0,11.1
TreVeyon Henderson,patriots,RB,32.0,"5'10""",202,,,Ohio State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.670257,600.0,0.0,1050.0,0.0,4510.0,8.1
Austin Hooper,patriots,TE,81.0,"6'4""",254,,,Stanford,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.671207,600.0,0.0,1160.0,0.0,7250.0,11.1
Mack Hollins,patriots,WR,13.0,"6'4""",221,,,North Carolina,,,,,,,,,,,,,,nfl.com,2025-07-20 21:13:11.670849,720.0,0.0,1050.0,0.0,6350.0,10.2
